,,,,,a_attendance_count,,a_user_name,a_user_stage,b.diamond,b.ruby,boxAllCount,curserver,iap_platform,install_day,total_payment_amount,user_rank
ItemPurchased (App),돌발_동료__0__330,330,2025-11-30 8:16,d5bd07f0-ccce-11f0-ad50-ffdb466958b0,2,a_user_name,베슬,118,168743,4510,1540,1,GooglePlay,2025-11-29,62700,6174
ItemPurchased (App),돌발_고려2__0__330,330,2025-11-30 8:16,d5bd07f0-ccce-11f0-ad50-ffdb466958b0,2,a_user_name,베슬,118,167743,4840,1540,1,GooglePlay,2025-11-29,62700,6174
ItemPurchased (App),돌발_무기2__0__330,330,2025-11-30 8:16,d5bd07f0-ccce-11f0-ad50-ffdb466958b0,2,a_user_name,베슬,118,166743,5170,1540,1,GooglePlay,2025-11-29,62700,6174
ItemPurchased (App),돌발_승급__0__330,330,2025-11-30 8:01,5c1ecfb0-8ec5-11f0-b663-31e5a6784052,79,a_user_name,경호나라,467,1524645,2310,16000,1,GooglePlay,2025-09-11,150700,1810
ItemPurchased (App),구독권4__660,660,2025-11-30 8:00,5c1ecfb0-8ec5-11f0-b663-31e5a6784052,79,a_user_name,경호나라,467,1513645,2970,16000,1,GooglePlay,2025-09-11,150700,1810
ItemPurchased (App),구독권3__660,660,2025-11-30 7:57,d88da590-618d-11f0-be18-d54b23f40b25,138,a_user_name,악마,1540,1027931,7370,201100,1,OneStore,2025-07-15,10698600,1
ItemPurchased (App),(기간한정 일간)입장권1__0__110,110,2025-11-30 7:57,d88da590-618d-11f0-be18-d54b23f40b25,138,a_user_name,악마,1540,1027431,7480,201100,1,OneStore,2025-07-15,10698600,1
ItemPurchased (App),(기간한정 일간)연구석__0__110,110,2025-11-30 7:08,765f3530-a762-11f0-8a45-d31b6a591896,50,a_user_name,곡산,1217,31892,6270,44200,1,OneStore,2025-10-12,3897300,20
ItemPurchased (App),돌발_회심타데미지__3__990,990,2025-11-30 7:05,54ac8250-9587-11ef-bae1-e99e5909ec5f,398,a_user_name,예슬아,1540,1811767,0,283990,0,OneStore,2024-10-28,4464600,5
ItemPurchased (App),(기간한정 일간)입장권1__0__110,110,2025-11-30 6:39,5e1d9900-cbe6-11f0-9abd-6bb2181d0c1d,3,a_user_name,이와느요으,85,105646,0,540,1,GooglePlay,2025-11-27,7700,6672
ItemPurchased (App),구독권1__770,770,2025-11-30 6:19,1ed386c0-ace6-11f0-92bd-9dd72cae1700,43,a_user_name,오진시황제,389,1168583,2860,31620,1,GooglePlay,2025-10-19,150700,2414
ItemPurchased (App),구독권4__660,660,2025-11-30 6:19,1ed386c0-ace6-11f0-92bd-9dd72cae1700,43,a_user_name,오진시황제,389,1157583,3520,31620,1,GooglePlay,2025-10-19,150700,2414
ItemPurchased (App),구독권3__660,660,2025-11-30 6:16,e608aab0-cba7-11f0-8d77-41cade851cb1,3,a_user_name,YoNa,388,104568,0,11000,1,GooglePlay,2025-11-27,854700,2419
ItemPurchased (App),돌발_연구__0__330,330,2025-11-30 6:04,e608aab0-cba7-11f0-8d77-41cade851cb1,3,a_user_name,YoNa,388,93168,330,11000,1,GooglePlay,2025-11-27,854700,2681
ItemPurchased (App),돌발_동료__6__3300,3300,2025-11-30 6:00,e608aab0-cba7-11f0-8d77-41cade851cb1,3,a_user_name,YoNa,388,150668,330,11000,1,GooglePlay,2025-11-27,821700,2681
ItemPurchased (App),돌발_패기__1__1100,1100,2025-11-30 5:26,e608aab0-cba7-11f0-8d77-41cade851cb1,3,a_user_name,YoNa,385,704918,1430,11000,1,GooglePlay,2025-11-27,821700,2681
ItemPurchased (App),돌발_나무__0__990,990,2025-11-30 5:14,e608aab0-cba7-11f0-8d77-41cade851cb1,3,a_user_name,YoNa,385,605143,2420,11000,1,GooglePlay,2025-11-27,821700,2681
ItemPurchased (App),돌발_패기__0__550,550,2025-11-30 5:01,e608aab0-cba7-11f0-8d77-41cade851cb1,3,a_user_name,YoNa,353,1255443,2970,10790,1,GooglePlay,2025-11-27,821700,2681
ItemPurchased (App),돌발_스테이지__5__3300,3300,2025-11-30 4:56,e608aab0-cba7-11f0-8d77-41cade851cb1,3,a_user_name,YoNa,353,771168,770,10790,1,GooglePlay,2025-11-27,766700,2681
ItemPurchased (App),돌발_조선2__4__3300,3300,2025-11-30 4:55,e608aab0-cba7-11f0-8d77-41cade851cb1,3,a_user_name,YoNa,353,760943,770,10790,1,GooglePlay,2025-11-27,733700,2681
ItemPurchased (App),돌발_사형수__3__1100,1100,2025-11-30 4:50,e608aab0-cba7-11f0-8d77-41cade851cb1,3,a_user_name,YoNa,353,708393,1870,10790,1,GooglePlay,2025-11-27,733700,3083
ItemPurchased (App),돌발_조선2__3__1100,1100,2025-11-30 4:48,57d262c0-bf06-11f0-b9a9-cf67df362175,20,a_user_name,순천,304,11929,0,12720,1,GooglePlay,2025-11-11,128700,3148
ItemPurchased (App),돌발_사형수__0__1100,1100,2025-11-30 4:44,57d262c0-bf06-11f0-b9a9-cf67df362175,20,a_user_name,순천,304,397529,1100,8750,1,GooglePlay,2025-11-11,128700,3148
ItemPurchased (App),육성 패스__3__2200,2200,2025-11-30 4:43,07fc1a50-bc60-11f0-a1c8-c7d79b0c22d9,23,a_user_name,무적8단변신,376,100356,220,6010,1,GooglePlay,2025-11-08,80300,2490
ItemPurchased (App),육성 패스__0__550,550,2025-11-30 4:36,e608aab0-cba7-11f0-8d77-41cade851cb1,3,a_user_name,YoNa,347,1549818,2970,10790,1,GooglePlay,2025-11-27,733700,3083
ItemPurchased (App),돌발_가속횟수__0__550,550,2025-11-30 4:36,9d5d5ae0-c23d-11f0-8173-09cb60cbebe3,15,a_user_name,수정동대갓집,298,140935,0,4490,1,GooglePlay,2025-11-15,34100,3189
