"Event Category","Custom Event Properties"
"Order Complete (App)","{""Time"":""2026-02-27 06:12:58"",""UserUUID"":""7f8d01d0-11e0-11f1-882e-4ddb431c63dd"",""a_attendance_count"":3,""a_user_name"":""안도준"",""a_user_stage"":266,""b.diamond"":165524,""b.ruby"":110,""boxAllCount"":1440,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-25"",""total_payment_amount"":269500,""user_rank"":5253}"
"Order Complete (App)","{""Time"":""2026-02-27 06:12:05"",""UserUUID"":""7f8d01d0-11e0-11f1-882e-4ddb431c63dd"",""a_attendance_count"":3,""a_user_name"":""안도준"",""a_user_stage"":266,""b.diamond"":162524,""b.ruby"":0,""boxAllCount"":1440,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-25"",""total_payment_amount"":262900,""user_rank"":5253}"
"Order Complete (App)","{""Time"":""2026-02-27 06:07:59"",""UserUUID"":""7f8d01d0-11e0-11f1-882e-4ddb431c63dd"",""a_attendance_count"":3,""a_user_name"":""안도준"",""a_user_stage"":266,""b.diamond"":180524,""b.ruby"":0,""boxAllCount"":1440,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-25"",""total_payment_amount"":229900,""user_rank"":5253}"
"Order Complete (App)","{""Time"":""2026-02-27 06:07:01"",""UserUUID"":""e6d7bda0-acb2-11f0-9b8c-2d87bb6cd3f7"",""a_attendance_count"":132,""a_user_name"":""딴딴뚠뚠"",""a_user_stage"":1284,""b.diamond"":480917,""b.ruby"":25520,""boxAllCount"":11530,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-19"",""total_payment_amount"":2042700,""user_rank"":84}"
"Order Complete (App)","{""Time"":""2026-02-27 06:06:50"",""UserUUID"":""e6d7bda0-acb2-11f0-9b8c-2d87bb6cd3f7"",""a_attendance_count"":132,""a_user_name"":""딴딴뚠뚠"",""a_user_stage"":1284,""b.diamond"":480917,""b.ruby"":24420,""boxAllCount"":11530,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-19"",""total_payment_amount"":2031700,""user_rank"":84}"
"Order Complete (App)","{""Time"":""2026-02-27 06:06:04"",""UserUUID"":""e6d7bda0-acb2-11f0-9b8c-2d87bb6cd3f7"",""a_attendance_count"":132,""a_user_name"":""딴딴뚠뚠"",""a_user_stage"":1284,""b.diamond"":480917,""b.ruby"":2420,""boxAllCount"":11530,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-19"",""total_payment_amount"":1811700,""user_rank"":84}"
"Order Complete (App)","{""Time"":""2026-02-27 06:04:10"",""UserUUID"":""7f8d01d0-11e0-11f1-882e-4ddb431c63dd"",""a_attendance_count"":3,""a_user_name"":""안도준"",""a_user_stage"":266,""b.diamond"":177124,""b.ruby"":0,""boxAllCount"":1440,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-25"",""total_payment_amount"":218900,""user_rank"":5253}"
"Order Complete (App)","{""Time"":""2026-02-27 05:57:39"",""UserUUID"":""f3ce56a0-d317-11f0-9e97-ed5ed872a196"",""a_attendance_count"":83,""a_user_name"":""난령"",""a_user_stage"":770,""b.diamond"":1228445,""b.ruby"":1320,""boxAllCount"":7130,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-12-07"",""total_payment_amount"":184800,""user_rank"":1011}"
"Order Complete (App)","{""Time"":""2026-02-27 05:57:08"",""UserUUID"":""f3ce56a0-d317-11f0-9e97-ed5ed872a196"",""a_attendance_count"":83,""a_user_name"":""난령"",""a_user_stage"":770,""b.diamond"":1228445,""b.ruby"":0,""boxAllCount"":7130,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-12-07"",""total_payment_amount"":171600,""user_rank"":1011}"
"Order Complete (App)","{""Time"":""2026-02-27 05:43:48"",""UserUUID"":""00ef0f70-64e9-11f0-89c4-91955faa19a3"",""a_attendance_count"":223,""a_user_name"":""태굥"",""a_user_stage"":1293,""b.diamond"":1142942,""b.ruby"":0,""boxAllCount"":18740,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-19"",""total_payment_amount"":456500,""user_rank"":68}"
"Order Complete (App)","{""Time"":""2026-02-27 05:42:09"",""UserUUID"":""5c631c70-6417-11f0-bcbf-2b7f0b4e55b1"",""a_attendance_count"":222,""a_user_name"":""구독자"",""a_user_stage"":1387,""b.diamond"":3858,""b.ruby"":330,""boxAllCount"":20030,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-18"",""total_payment_amount"":756800,""user_rank"":46}"
"Order Complete (App)","{""Time"":""2026-02-27 05:05:02"",""UserUUID"":""ba7272d0-64bb-11f0-a475-093604a1564e"",""a_attendance_count"":223,""a_user_name"":""Sora"",""a_user_stage"":1240,""b.diamond"":61147,""b.ruby"":220,""boxAllCount"":54780,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-19"",""total_payment_amount"":350900,""user_rank"":128}"
"Order Complete (App)","{""Time"":""2026-02-27 04:50:20"",""UserUUID"":""ba7272d0-64bb-11f0-a475-093604a1564e"",""a_attendance_count"":223,""a_user_name"":""Sora"",""a_user_stage"":1235,""b.diamond"":42547,""b.ruby"":220,""boxAllCount"":54780,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-19"",""total_payment_amount"":317900,""user_rank"":133}"
