"Event Category","Custom Event Properties"
"Order Complete (App)","{""Time"":""2026-02-16 17:14:35"",""UserUUID"":""e18ef980-0b0d-11f1-93e5-57d0289b6fde"",""a_attendance_count"":1,""a_user_name"":""koreago"",""a_user_stage"":6,""b.diamond"":8042,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":0,""user_rank"":99999999}"
"Order Complete (App)","{""Time"":""2026-02-16 16:51:42"",""UserUUID"":""874fc610-0afa-11f1-8797-b17376e8e5fb"",""a_attendance_count"":1,""a_user_name"":""김뚱"",""a_user_stage"":64,""b.diamond"":252745,""b.ruby"":0,""boxAllCount"":300,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":0,""user_rank"":15314}"
"Order Complete (App)","{""Time"":""2026-02-16 16:44:56"",""UserUUID"":""5efec420-0b06-11f1-9028-7fb5d56365b7"",""a_attendance_count"":1,""a_user_name"":""아픔"",""a_user_stage"":24,""b.diamond"":200937,""b.ruby"":0,""boxAllCount"":150,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":0,""user_rank"":15633}"
"Order Complete (App)","{""Time"":""2026-02-16 16:08:31"",""UserUUID"":""bd521670-093b-11f1-bbaa-cb4215b1187c"",""a_attendance_count"":3,""a_user_name"":""러셀"",""a_user_stage"":42,""b.diamond"":382250,""b.ruby"":770,""boxAllCount"":90,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-14"",""total_payment_amount"":7700,""user_rank"":13583}"
"Order Complete (App)","{""Time"":""2026-02-16 16:08:06"",""UserUUID"":""bd521670-093b-11f1-bbaa-cb4215b1187c"",""a_attendance_count"":3,""a_user_name"":""러셀"",""a_user_stage"":42,""b.diamond"":382250,""b.ruby"":0,""boxAllCount"":90,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-14"",""total_payment_amount"":0,""user_rank"":13583}"
"Order Complete (App)","{""Time"":""2026-02-16 15:51:31"",""UserUUID"":""cc23a050-fe24-11f0-8cb5-f761ec76d908"",""a_attendance_count"":17,""a_user_name"":""이군7"",""a_user_stage"":282,""b.diamond"":102064,""b.ruby"":0,""boxAllCount"":6260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-30"",""total_payment_amount"":108900,""user_rank"":4414}"
"Order Complete (App)","{""Time"":""2026-02-16 15:30:15"",""UserUUID"":""b93f1c20-08c0-11f1-8c3f-31c7030ae6f4"",""a_attendance_count"":1,""a_user_name"":""오우노우"",""a_user_stage"":43,""b.diamond"":115890,""b.ruby"":0,""boxAllCount"":930,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-13"",""total_payment_amount"":0,""user_rank"":13404}"
"Order Complete (App)","{""Time"":""2026-02-16 14:34:51"",""UserUUID"":""ce77beb0-0af7-11f1-9c0b-75fdc72785c8"",""a_attendance_count"":1,""a_user_name"":""인천의쓰레빠"",""a_user_stage"":8,""b.diamond"":19000,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":0,""user_rank"":99999999}"
"Order Complete (App)","{""Time"":""2026-02-16 14:34:06"",""UserUUID"":""b05ee9e0-0ad8-11f1-bc77-1338a3b3c62c"",""a_attendance_count"":1,""a_user_name"":""넙치야"",""a_user_stage"":121,""b.diamond"":59012,""b.ruby"":0,""boxAllCount"":2530,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":84700,""user_rank"":8342}"
"Order Complete (App)","{""Time"":""2026-02-16 14:18:46"",""UserUUID"":""b05ee9e0-0ad8-11f1-bc77-1338a3b3c62c"",""a_attendance_count"":1,""a_user_name"":""넙치야"",""a_user_stage"":115,""b.diamond"":110337,""b.ruby"":0,""boxAllCount"":2530,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":73700,""user_rank"":8342}"
"Order Complete (App)","{""Time"":""2026-02-16 14:09:45"",""UserUUID"":""6b89d890-0af4-11f1-bc77-1338a3b3c62c"",""a_attendance_count"":1,""a_user_name"":""대게짱"",""a_user_stage"":6,""b.diamond"":2000,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":0,""user_rank"":99999999}"
"Order Complete (App)","{""Time"":""2026-02-16 14:09:46"",""UserUUID"":""710cee70-648b-11f0-a086-85e9f4d94fe9"",""a_attendance_count"":213,""a_user_name"":""슭슭"",""a_user_stage"":1540,""b.diamond"":715826,""b.ruby"":54890,""boxAllCount"":22440,""curserver"":1,""iap_platform"":""OneStore"",""install_day"":""2025-07-19"",""total_payment_amount"":2905100,""user_rank"":14}"
"Order Complete (App)","{""Time"":""2026-02-16 14:09:21"",""UserUUID"":""710cee70-648b-11f0-a086-85e9f4d94fe9"",""a_attendance_count"":213,""a_user_name"":""슭슭"",""a_user_stage"":1540,""b.diamond"":715826,""b.ruby"":54780,""boxAllCount"":22440,""curserver"":1,""iap_platform"":""OneStore"",""install_day"":""2025-07-19"",""total_payment_amount"":2904000,""user_rank"":14}"
"Order Complete (App)","{""Time"":""2026-02-16 13:49:05"",""UserUUID"":""b05ee9e0-0ad8-11f1-bc77-1338a3b3c62c"",""a_attendance_count"":1,""a_user_name"":""넙치야"",""a_user_stage"":94,""b.diamond"":14447,""b.ruby"":0,""boxAllCount"":2440,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":62700,""user_rank"":9318}"
"Order Complete (App)","{""Time"":""2026-02-16 13:30:59"",""UserUUID"":""23112e30-07f0-11f1-9600-05af4bc24776"",""a_attendance_count"":5,""a_user_name"":""인사천재"",""a_user_stage"":265,""b.diamond"":25355,""b.ruby"":0,""boxAllCount"":10490,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-12"",""total_payment_amount"":297000,""user_rank"":5168}"
"Order Complete (App)","{""Time"":""2026-02-16 13:10:46"",""UserUUID"":""0f6a7b30-fef3-11f0-a367-619edeb448c6"",""a_attendance_count"":16,""a_user_name"":""김동규"",""a_user_stage"":327,""b.diamond"":860,""b.ruby"":110,""boxAllCount"":3010,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-31"",""total_payment_amount"":84700,""user_rank"":3783}"
"Order Complete (App)","{""Time"":""2026-02-16 13:07:44"",""UserUUID"":""85d38400-0a02-11f1-8218-43a7bad363ff"",""a_attendance_count"":2,""a_user_name"":""단웅"",""a_user_stage"":120,""b.diamond"":847689,""b.ruby"":220,""boxAllCount"":1320,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-15"",""total_payment_amount"":117700,""user_rank"":7583}"
"Order Complete (App)","{""Time"":""2026-02-16 13:05:31"",""UserUUID"":""b05ee9e0-0ad8-11f1-bc77-1338a3b3c62c"",""a_attendance_count"":1,""a_user_name"":""넙치야"",""a_user_stage"":90,""b.diamond"":16208,""b.ruby"":0,""boxAllCount"":2440,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":51700,""user_rank"":9318}"
"Order Complete (App)","{""Time"":""2026-02-16 13:01:52"",""UserUUID"":""dbbe3010-0654-11f1-b829-63a3b51ab613"",""a_attendance_count"":3,""a_user_name"":""변산우체국"",""a_user_stage"":36,""b.diamond"":266960,""b.ruby"":0,""boxAllCount"":360,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-10"",""total_payment_amount"":0,""user_rank"":14295}"
"Order Complete (App)","{""Time"":""2026-02-16 13:01:35"",""UserUUID"":""0f6a7b30-fef3-11f0-a367-619edeb448c6"",""a_attendance_count"":16,""a_user_name"":""김동규"",""a_user_stage"":317,""b.diamond"":1360,""b.ruby"":110,""boxAllCount"":3010,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-31"",""total_payment_amount"":73700,""user_rank"":3922}"
"Order Complete (App)","{""Time"":""2026-02-16 12:55:12"",""UserUUID"":""b05ee9e0-0ad8-11f1-bc77-1338a3b3c62c"",""a_attendance_count"":1,""a_user_name"":""넙치야"",""a_user_stage"":85,""b.diamond"":7308,""b.ruby"":0,""boxAllCount"":2440,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":40700,""user_rank"":10439}"
"Order Complete (App)","{""Time"":""2026-02-16 12:48:46"",""UserUUID"":""b8d86000-2e43-11f0-ac2a-ab169033f472"",""a_attendance_count"":112,""a_user_name"":""당당한남군"",""a_user_stage"":967,""b.diamond"":135055,""b.ruby"":110,""boxAllCount"":39370,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2025-05-11"",""total_payment_amount"":1702800,""user_rank"":149}"
"Order Complete (App)","{""Time"":""2026-02-16 12:26:38"",""UserUUID"":""bddf4ef0-c7d7-11f0-ae97-d1d93c75b63d"",""a_attendance_count"":83,""a_user_name"":""lcls123"",""a_user_stage"":486,""b.diamond"":4414,""b.ruby"":0,""boxAllCount"":4080,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-11-22"",""total_payment_amount"":73700,""user_rank"":2242}"
"Order Complete (App)","{""Time"":""2026-02-16 12:23:09"",""UserUUID"":""bf95d3b0-0ae2-11f1-bc77-1338a3b3c62c"",""a_attendance_count"":1,""a_user_name"":""일격삑살"",""a_user_stage"":35,""b.diamond"":110080,""b.ruby"":0,""boxAllCount"":630,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":0,""user_rank"":15897}"
"Order Complete (App)","{""Time"":""2026-02-16 12:10:12"",""UserUUID"":""8cd3bce0-0690-11f1-8a4a-317449228666"",""a_attendance_count"":7,""a_user_name"":""한효기"",""a_user_stage"":246,""b.diamond"":73225,""b.ruby"":1320,""boxAllCount"":4810,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-10"",""total_payment_amount"":227700,""user_rank"":5658}"
"Order Complete (App)","{""Time"":""2026-02-16 12:06:26"",""UserUUID"":""8cd3bce0-0690-11f1-8a4a-317449228666"",""a_attendance_count"":7,""a_user_name"":""한효기"",""a_user_stage"":246,""b.diamond"":134975,""b.ruby"":0,""boxAllCount"":4610,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-10"",""total_payment_amount"":172700,""user_rank"":5658}"
"Order Complete (App)","{""Time"":""2026-02-16 12:02:32"",""UserUUID"":""bddf4ef0-c7d7-11f0-ae97-d1d93c75b63d"",""a_attendance_count"":83,""a_user_name"":""lcls123"",""a_user_stage"":481,""b.diamond"":37989,""b.ruby"":220,""boxAllCount"":4080,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-11-22"",""total_payment_amount"":73700,""user_rank"":2242}"
"Order Complete (App)","{""Time"":""2026-02-16 12:02:03"",""UserUUID"":""bddf4ef0-c7d7-11f0-ae97-d1d93c75b63d"",""a_attendance_count"":83,""a_user_name"":""lcls123"",""a_user_stage"":481,""b.diamond"":37989,""b.ruby"":0,""boxAllCount"":4080,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-11-22"",""total_payment_amount"":71500,""user_rank"":2242}"
"Order Complete (App)","{""Time"":""2026-02-16 11:59:28"",""UserUUID"":""bddf4ef0-c7d7-11f0-ae97-d1d93c75b63d"",""a_attendance_count"":83,""a_user_name"":""lcls123"",""a_user_stage"":481,""b.diamond"":20589,""b.ruby"":0,""boxAllCount"":4080,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-11-22"",""total_payment_amount"":63800,""user_rank"":2242}"
"Order Complete (App)","{""Time"":""2026-02-16 11:55:30"",""UserUUID"":""be349bd0-080a-11f1-ae32-531c14c5f394"",""a_attendance_count"":5,""a_user_name"":""민줄"",""a_user_stage"":120,""b.diamond"":326953,""b.ruby"":220,""boxAllCount"":3100,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-12"",""total_payment_amount"":13200,""user_rank"":7654}"
"Order Complete (App)","{""Time"":""2026-02-16 11:54:01"",""UserUUID"":""869de8c0-0ada-11f1-bdc5-93ed9e8228c6"",""a_attendance_count"":1,""a_user_name"":""코라솔"",""a_user_stage"":4,""b.diamond"":8686,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":0,""user_rank"":99999999}"
"Order Complete (App)","{""Time"":""2026-02-16 11:54:21"",""UserUUID"":""be349bd0-080a-11f1-ae32-531c14c5f394"",""a_attendance_count"":5,""a_user_name"":""민줄"",""a_user_stage"":120,""b.diamond"":121453,""b.ruby"":660,""boxAllCount"":3100,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-12"",""total_payment_amount"":6600,""user_rank"":7654}"
"Order Complete (App)","{""Time"":""2026-02-16 11:54:02"",""UserUUID"":""be349bd0-080a-11f1-ae32-531c14c5f394"",""a_attendance_count"":5,""a_user_name"":""민줄"",""a_user_stage"":120,""b.diamond"":121453,""b.ruby"":0,""boxAllCount"":3100,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-12"",""total_payment_amount"":0,""user_rank"":7654}"
"Order Complete (App)","{""Time"":""2026-02-16 11:26:55"",""UserUUID"":""cefecda0-0a76-11f1-a897-fbc9f151c310"",""a_attendance_count"":2,""a_user_name"":""이리메"",""a_user_stage"":53,""b.diamond"":32017,""b.ruby"":0,""boxAllCount"":990,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-15"",""total_payment_amount"":0,""user_rank"":11975}"
"Order Complete (App)","{""Time"":""2026-02-16 11:24:02"",""UserUUID"":""15e51ef0-d0c4-11f0-a2df-af98a08339ab"",""a_attendance_count"":75,""a_user_name"":""싸구려초밥"",""a_user_stage"":749,""b.diamond"":12238,""b.ruby"":440,""boxAllCount"":20210,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-12-04"",""total_payment_amount"":426800,""user_rank"":1021}"
"Order Complete (App)","{""Time"":""2026-02-16 11:16:28"",""UserUUID"":""b05ee9e0-0ad8-11f1-bc77-1338a3b3c62c"",""a_attendance_count"":1,""a_user_name"":""넙치야"",""a_user_stage"":26,""b.diamond"":80915,""b.ruby"":0,""boxAllCount"":360,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":7700,""user_rank"":15070}"
"Order Complete (App)","{""Time"":""2026-02-16 11:07:44"",""UserUUID"":""945db0c0-fcdf-11f0-8a78-73fad6e9dbc7"",""a_attendance_count"":19,""a_user_name"":""프래"",""a_user_stage"":448,""b.diamond"":120461,""b.ruby"":0,""boxAllCount"":7890,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-29"",""total_payment_amount"":353100,""user_rank"":2711}"
"Order Complete (App)","{""Time"":""2026-02-16 10:57:37"",""UserUUID"":""cee79990-fde8-11f0-b336-4b9d58aeb880"",""a_attendance_count"":17,""a_user_name"":""만맨"",""a_user_stage"":917,""b.diamond"":446691,""b.ruby"":660,""boxAllCount"":24630,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-30"",""total_payment_amount"":3293400,""user_rank"":837}"
"Order Complete (App)","{""Time"":""2026-02-16 10:56:34"",""UserUUID"":""cee79990-fde8-11f0-b336-4b9d58aeb880"",""a_attendance_count"":17,""a_user_name"":""만맨"",""a_user_stage"":917,""b.diamond"":352041,""b.ruby"":1210,""boxAllCount"":24630,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-30"",""total_payment_amount"":3293400,""user_rank"":837}"
"Order Complete (App)","{""Time"":""2026-02-16 10:56:14"",""UserUUID"":""cee79990-fde8-11f0-b336-4b9d58aeb880"",""a_attendance_count"":17,""a_user_name"":""만맨"",""a_user_stage"":917,""b.diamond"":352041,""b.ruby"":0,""boxAllCount"":24630,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-30"",""total_payment_amount"":3281300,""user_rank"":837}"
"Order Complete (App)","{""Time"":""2026-02-16 10:56:08"",""UserUUID"":""b05ee9e0-0ad8-11f1-bc77-1338a3b3c62c"",""a_attendance_count"":1,""a_user_name"":""넙치야"",""a_user_stage"":8,""b.diamond"":18000,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":0,""user_rank"":99999999}"
"Order Complete (App)","{""Time"":""2026-02-16 10:09:51"",""UserUUID"":""e75206c0-0a75-11f1-a426-b7ab9b1c14a8"",""a_attendance_count"":2,""a_user_name"":""수헌1"",""a_user_stage"":187,""b.diamond"":1429,""b.ruby"":0,""boxAllCount"":2940,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-15"",""total_payment_amount"":30800,""user_rank"":6455}"
"Order Complete (App)","{""Time"":""2026-02-16 10:08:33"",""UserUUID"":""5db46940-ed4b-11f0-92e5-cf6622dbb87f"",""a_attendance_count"":19,""a_user_name"":""충치"",""a_user_stage"":396,""b.diamond"":112354,""b.ruby"":0,""boxAllCount"":7190,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-09"",""total_payment_amount"":245300,""user_rank"":3300}"
