순위,UUID,닉네임,점수,
121,51b74630-63a3-11f0-b630-4f8dc5617c79,더덕,272,
121,3285c700-6227-11f0-8853-493fc3ae34f0,마니비니,272,
126,dd19e7d0-6427-11f0-a684-2b9cd36018bc,노비출신,271,
126,bea24000-622d-11f0-aa91-9b126fa90fce,팝콘티비시후,271,
126,a3586780-6470-11f0-b9a2-71a70b35ee88,데몬,271,
126,a336c540-63ed-11f0-893e-c9eaafcb280d,기범배,271,
130,c7a82ef0-63d4-11f0-a9da-8b915b889dd4,mc재명,270,
130,c7112400-6461-11f0-a72c-e970bf999ff4,유궁귀,270,
130,a5591130-63ba-11f0-b6ab-ab1d57efd9b6,일주일만,270,
130,a2c58ba0-6497-11f0-aedf-55b71a55f5ce,앙뚝,270,
130,85d548f0-6262-11f0-97b4-198e3a6088ef,우치하이타치,270,
130,70637bb0-62a1-11f0-bcbb-714564b525f4,키슬로우,270,
130,56abbf20-6648-11f0-83c8-df80587bdcb4,리리나,270,
130,0a6df760-666e-11f0-ba90-31fb5fd677bf,타난,270,
138,e2a07b40-6271-11f0-bcbb-714564b525f4,puking,269,
138,983c5c00-6388-11f0-8f97-2d546a0fbaf9,Henry,269,
138,8ae10fb0-64e1-11f0-8ef3-8dde64b39158,나리나리,269,
141,f0025220-62d7-11f0-9cbc-05ebba638e55,제노사이드,268,
141,d71df110-621e-11f0-a026-2b3e93922249,꽁꽁이,268,
141,9d719620-66eb-11f0-94fd-bd0b371894b0,김찍찍,268,
141,9151a3e0-62fd-11f0-aafb-6f8fc69735d7,뱅포에틱,268,
141,82738560-63d8-11f0-9a87-810a40a679fa,줸줸,268,
141,75b9cc30-63b0-11f0-a58b-f92992047423,붕쯔붕쯔,268,
141,6feec6a0-62fe-11f0-aafb-6f8fc69735d7,응아코,268,
141,4c1bc620-63e3-11f0-981c-6918ebc09e55,아즈,268,
141,34d9e6d0-6240-11f0-9b9e-13c7a7dd6c88,밀월,268,
141,04340f30-62a2-11f0-9c35-45ef6a487d5b,얼발,268,
151,f603b0d0-6253-11f0-ba61-57b32c8fdcaa,환세취호전,267,
151,dad8d730-6213-11f0-9ed2-2327c5a1ff14,허생존,267,
