Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID
GPA.3354-7512-6827-53913,08-Aug-25,6:29:14 AM PDT,,Google fee,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,dm1q,KR,서울특별시,8738,KRW,-4500,1,KRW,-4500,,,4.99167E+18,Yes,15,,
GPA.3354-7512-6827-53913,08-Aug-25,6:29:14 AM PDT,Third-party Tax,Tax,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,dm1q,KR,서울특별시,8738,KRW,3000,1,KRW,3000,,,4.99167E+18,Yes,,,
GPA.3326-8883-4894-25641,08-Aug-25,6:30:33 AM PDT,,Charge,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,b0q,KR,,61058,KRW,10000,1,KRW,10000,,,4.99167E+18,Yes,,,
GPA.3326-8883-4894-25641,08-Aug-25,6:30:33 AM PDT,,Google fee,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,b0q,KR,,61058,KRW,-1500,1,KRW,-1500,,,4.99167E+18,Yes,15,,
GPA.3326-8883-4894-25641,08-Aug-25,6:30:33 AM PDT,Third-party Tax,Tax,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,b0q,KR,,61058,KRW,1000,1,KRW,1000,,,4.99167E+18,Yes,,,
GPA.3318-1452-5233-13584,08-Aug-25,6:35:45 AM PDT,,Charge,,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ads_remove,e1s,KR,대전광역시,35347,KRW,7000,1,KRW,7000,,,4.99167E+18,Yes,,,
GPA.3318-1452-5233-13584,08-Aug-25,6:35:45 AM PDT,,Google fee,,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ads_remove,e1s,KR,대전광역시,35347,KRW,-1050,1,KRW,-1050,,,4.99167E+18,Yes,15,,
GPA.3318-1452-5233-13584,08-Aug-25,6:35:45 AM PDT,Third-party Tax,Tax,,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ads_remove,e1s,KR,대전광역시,35347,KRW,700,1,KRW,700,,,4.99167E+18,Yes,,,
GPA.3307-1825-8890-79165,08-Aug-25,6:39:28 AM PDT,,Charge,,루비 수레 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_6,q7q,KR,광주광역시,500-170,KRW,100000,1,KRW,100000,,,4.99167E+18,Yes,,,
GPA.3307-1825-8890-79165,08-Aug-25,6:39:28 AM PDT,,Google fee,,루비 수레 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_6,q7q,KR,광주광역시,500-170,KRW,-15000,1,KRW,-15000,,,4.99167E+18,Yes,15,,
GPA.3307-1825-8890-79165,08-Aug-25,6:39:28 AM PDT,Third-party Tax,Tax,,루비 수레 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_6,q7q,KR,광주광역시,500-170,KRW,10000,1,KRW,10000,,,4.99167E+18,Yes,,,
GPA.3384-0643-6294-28266,08-Aug-25,6:43:29 AM PDT,,Charge,,루비 한줌 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_2,e3q,KR,경기도,15534,KRW,6000,1,KRW,6000,,,4.99167E+18,Yes,,,
