Event Action,Event Label,ItemPurchased (App),Event 값 (App),cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0)_account_Product_6__0,500~550,39,4290,525,,,,account_Product_draw_4__1,550,550,,550,1650,,,550,,1100,6050,3300,1650,550,9350,4950,25300,15950,15400,5500,1100,,,550,,,,550,,,,,,550,550,,,,,,96250,96250,0.49%
(0)_account_Product_7__0,350~400,39,4290,375,,,,account_Product_draw_4__2,1100,1100,,1100,,,,,,,,1100,5500,,3300,9900,26400,23100,34100,13200,6600,,,,,,,1100,,,,,,1100,1100,,,,,,129800,129800,0.66%
account_Product_draw_3__1,300~350,39,21450,325,,,,account_Product_draw_4__3,,,,,,,,,,,,,,,3300,6600,56100,26400,66000,26400,23100,3300,,,3300,,,3300,,,,,,3300,3300,,,,,,224400,224400,1.15%
account_Product_draw_5__0,300~350,39,4290,325,,,,account_Product_draw_4__4,,,,,,,,,,,,,,,,,33000,44000,38500,49500,33000,5500,,,11000,,,5500,5500,,,,,5500,5500,,,,,,236500,236500,1.21%
Pass_Product_0__1,250~300,39,30030,275,,,,account_Product_draw_5__0,,,,,,,,,,,,,,,,11110,9790,4290,4070,1320,770,110,,,,,,,,110,,,330,,,,,,,,31900,31900,0.16%
Pass_Product_1__0,250~300,39,21450,275,,,,account_Product_draw_5__1,,,,,,,,,,,,,,,,10450,19250,9350,15950,10450,7150,550,,,550,,,,550,,,550,550,,550,,,,,,75900,75900,0.39%
Sudden_Product_Research__0,250~300,39,12870,275,,,,account_Product_draw_5__2,,,,,,,,,,,,,,,,7700,19800,11000,23100,17600,15400,1100,,1100,,,,,1100,,,,,,2200,,,,,,100100,100100,0.51%
account_Product_draw_3__0,300~350,38,4180,325,,,,account_Product_draw_5__3,,,,,,,,,,,,,,,,3300,33000,29700,46200,42900,49500,3300,3300,,,,,,,,,,,,6600,,,,,,217800,217800,1.11%
Minigame_Product_draw_1__1100,250~300,38,41800,275,,,,account_Product_draw_5__4,,,,,,,,,,,,,,,,,22000,22000,49500,27500,66000,5500,22000,,,,,,,,,,,,5500,,,,,,220000,220000,1.13%
Sudden_Product_Hero2__2,300~350,38,41800,325,,,,account_Product_Hero_0__0,660,2310,1650,1320,2310,1320,1320,2640,,2310,,990,,330,2310,2970,4950,1650,2310,660,990,,330,,,,,,,,,,,,,,,,,,33330,33330,0.17%
account_Product_draw_0__1,200~250,37,4070,225,,,,account_Product_Hero_0__1,,1100,,,1100,,1100,550,,,,550,,,1100,2750,4400,550,1650,1650,1650,550,1100,,,,,,,,,,,,,,,,,,19800,19800,0.10%
account_Product_draw_3__0,350~400,37,4070,375,,,,account_Product_Hero_0__2,,,,,,,1100,,,,,,,,,1100,5500,4400,1100,1100,,2200,2200,,,,,,,,,,,,,,,,,,18700,18700,0.10%
account_Product_draw_5__0,350~400,37,4070,375,,,,account_Product_Hero_0__3,,,,,,,,,,,,,,,,,3300,3300,,3300,,3300,6600,,,,,,,,,,,,,,,,,,19800,19800,0.10%
Preminum_Product__2,150~200,37,73260,175,,,,account_Product_Hero_0__4,,,,,,,,,,,,,,,,,,5500,,5500,,5500,,,,,5500,,,,,,,,,,,,,,22000,22000,0.11%
Sudden_Product_Growth2__1,110~120,37,20350,115,,,,account_Product_Hero_1__0,,1320,990,990,990,660,990,1320,,1980,,660,330,330,2640,990,4950,1650,1650,330,330,,,,,,,,,,,,,,,,,,,,23100,23100,0.12%
Sudden_Product_Hero2__0,130~140,37,12210,135,,,,account_Product_Hero_1__1,,550,,,550,,,,,550,,550,,,1100,1100,4400,550,1650,550,,,550,,,,,,,,,,,,,,,,,,12100,12100,0.06%
Sudden_Product_Hero2__0,140~150,37,12210,145,,,,account_Product_Hero_1__2,,,,,,,1100,1100,,,,,,,1100,,4400,3300,1100,,,1100,,,,,,,,,,,,,,,,,,,13200,13200,0.07%
Sudden_Product_Stage__6,400~450,37,203500,425,,,,account_Product_Hero_1__3,,,,,,,,,,,,,,,,,3300,,,,,6600,,,,,,,,,,,,,,,,,,,9900,9900,0.05%
account_Product_draw_3__0,150~200,36,3960,175,,,,account_Product_Hero_1__4,,,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,,,,,,,,,,,5500,5500,0.03%
Sudden_Product_Growth1__4,350~400,36,39600,375,,,,account_Product_Hero_10__0,660,990,330,990,,660,330,660,,990,660,660,,,330,990,2310,990,3300,660,660,,,,,,,,,,,,,,,,,,,,16170,16170,0.08%
Sudden_Product_Hero2__3,350~400,36,118800,375,,,,account_Product_Hero_10__1,,550,,,,,,,,,,1100,,,,550,,550,1650,550,550,,,,,,,,,,,,,,,,,,,,5500,5500,0.03%
account_Product_draw_5__1,250~300,35,19250,275,,,,account_Product_Hero_10__2,,,,,,,1100,,,,,1100,,,,,,1100,2200,1100,,,,,,,,,,,,,,,,,,,,,6600,6600,0.03%
Minigame_Product_draw_3__3300,350~400,35,115500,375,,,,account_Product_Hero_10__3,,,,,,,,,,,,3300,,,,,,3300,3300,,,,,,,,,,,,,,,,,,,,,,9900,9900,0.05%
Preminum_Product__2,90~100,35,69300,95,,,,account_Product_Hero_10__4,,,,,,,,,,,,,,,,,5500,,5500,,,,,,,,,,,,,,,,,,,,,,11000,11000,0.06%
Sudden_Product_Hero1__0,80~90,35,11550,85,,,,account_Product_Hero_2__0,,1320,660,660,330,660,1320,990,330,1320,330,,,,1650,660,3300,660,990,,660,,,,,,,,,,,,,,,,,,,,15840,15840,0.08%
(0)_account_Product_7__0,500~550,34,3740,525,,,,account_Product_Hero_2__1,,550,,,550,,,,,,,,,,,1100,550,,1100,,,550,,,,,,,,,,,,,,,,,,,4400,4400,0.02%
Sudden_Product_Growth1__0,90~100,34,18700,95,,,,account_Product_Hero_2__2,,,,,,,1100,,,,,,,,,,1100,2200,,,,1100,,,,,,,,,,,,,,,,,,,5500,5500,0.03%
Sudden_Product_Growth2__3,200~250,34,112200,225,,,,account_Product_Hero_2__3,,,,,,,,,,,,,,,,,3300,,,,,3300,,,,,,,,,,,,,,,,,,,6600,6600,0.03%
