Event Category,,Product ID,Product Price,a_attendance_count,a_user_name,a_user_stage,b.diamond,b.ruby,curserver,iap_platform,install_day,total_payment_amount,user_rank
ItemPurchased (App),,Sudden_Product_Growth1__0,550,2,방과,94,111348,220,1,GooglePlay,2025-08-30,28600,8037
ItemPurchased (App),,Sudden_Product_Hero1__0,330,2,방과,94,87348,770,1,GooglePlay,2025-08-30,28600,8037
ItemPurchased (App),,account_Product_draw_5__0,110,10,수류탄투척,267,45071,0,1,GooglePlay,2025-08-22,18700,3150
ItemPurchased (App),,account_Product_draw_4__0,110,10,수류탄투척,267,41071,110,1,GooglePlay,2025-08-22,18700,3150
ItemPurchased (App),,account_Product_draw_3__0,110,10,수류탄투척,267,41071,110,1,GooglePlay,2025-08-22,18700,3150
ItemPurchased (App),,account_Product_draw_1__1,110,10,수류탄투척,267,33071,330,1,GooglePlay,2025-08-22,18700,3150
ItemPurchased (App),,account_Product_draw_0__1,110,10,수류탄투척,267,29071,440,1,GooglePlay,2025-08-22,18700,3150
ItemPurchased (App),,Sudden_Product_Armor__1,550,4,HYUCK,193,84448,2310,0,GooglePlay,2025-07-15,174900,3275
ItemPurchased (App),,Sudden_Product_Research__1,550,10,수류탄투척,267,9521,550,1,GooglePlay,2025-08-22,18700,3150
ItemPurchased (App),,Sudden_Product_Hero1__0,330,1,장림동골목대장,73,14631,0,1,GooglePlay,2025-08-31,11000,16741
ItemPurchased (App),,Sudden_Product_Growth2__0,330,2,미괴,116,139581,220,1,GooglePlay,2025-08-30,40700,7186
ItemPurchased (App),,Sudden_Product_Growth2__1,550,2,미괴,116,125581,550,1,GooglePlay,2025-08-30,40700,7186
ItemPurchased (App),,account_Product_draw_1__1,110,16,nakju1,293,4329,0,1,GooglePlay,2025-08-16,69300,2345
ItemPurchased (App),,(0)_account_Product_6__0,110,8,레비비,234,9120,0,1,GooglePlay,2025-08-24,12100,4110
ItemPurchased (App),,Preminum_Product__1,770,1,장림동골목대장,43,189981,330,1,GooglePlay,2025-08-31,11000,16741
ItemPurchased (App),,Sudden_Product_Hero2__2,1100,9,raonao,285,60949,0,1,GooglePlay,2025-08-23,170500,2657
ItemPurchased (App),,Sudden_Product_Boost__2,1100,33,이야이,568,445744,110,1,OneStore,2025-07-30,1155000,44
ItemPurchased (App),,Pass_Product_3__0,550,2,미괴,106,266374,1100,1,GooglePlay,2025-08-30,40700,9224
ItemPurchased (App),,Pass_Product_2__0,550,2,미괴,106,213174,1650,1,GooglePlay,2025-08-30,40700,9224
ItemPurchased (App),,Pass_Product_1__0,550,2,미괴,106,154374,2200,1,GooglePlay,2025-08-30,40700,9224
ItemPurchased (App),,Pass_Product_0__0,550,2,미괴,106,106774,2750,1,GooglePlay,2025-08-30,40700,9224
ItemPurchased (App),,Sudden_Product_Armor__0,330,3,마살수,229,112378,0,1,GooglePlay,2025-08-29,110000,4250
ItemPurchased (App),,Sudden_Product_Hero2__0,330,3,마살수,229,23278,330,1,GooglePlay,2025-08-29,110000,4250
ItemPurchased (App),,Sudden_Product_Hero2__2,1100,34,난세난난세,398,762897,0,1,GooglePlay,2025-07-29,183700,540
ItemPurchased (App),,account_Product_draw_3__1,550,10,유강체,256,21544,0,1,GooglePlay,2025-08-22,40700,3389
ItemPurchased (App),,Pass_Product_0__0,550,10,유강체,256,92044,110,1,GooglePlay,2025-08-22,36300,3389
ItemPurchased (App),,account_Product_draw_5__0,110,9,하와이총잡이,226,114671,0,1,GooglePlay,2025-08-23,49500,4573
ItemPurchased (App),,(0)_account_Product_3__0,110,47,페코,425,115086,0,1,GooglePlay,2025-07-16,13200,403
ItemPurchased (App),,account_Product_draw_5__0,110,3,마살수,226,82803,0,1,GooglePlay,2025-08-29,103400,4658
ItemPurchased (App),,(0)_account_Product_2__0,110,44,졸업앨범을피지마,318,188010,0,1,GooglePlay,2025-07-19,55000,2031
