Event Category,,Product ID,Product Price,"{""a_attendance_count""",a_user_name,a_user_stage,b.diamond,b.ruby,curserver,iap_platform,install_day,total_payment_amount,user_rank
Order Complete (App),,ruby_5,55000,33,창사마,493,12104,550,1,GooglePlay,2025-07-27,1184700,116
Order Complete (App),,ruby_3,11000,43,S썽아찌S,412,1219,0,1,GooglePlay,2025-07-16,40700,397
Order Complete (App),,ruby_3,11000,24,조승연,751,238469,110,1,GooglePlay,2025-08-04,2840200,15
Order Complete (App),,ruby_2,6600,24,조승연,751,226019,0,1,GooglePlay,2025-08-04,2833600,15
Order Complete (App),,ruby_3,11000,1,셀프유쌤,25,66113,1100,1,GooglePlay,2025-08-28,18700,18513
Order Complete (App),,ruby_3,11000,1,셀프유쌤,25,66113,0,1,GooglePlay,2025-08-28,7700,18513
Order Complete (App),,ruby_4,33000,24,조승연,751,225735,0,1,GooglePlay,2025-08-04,2800600,15
Order Complete (App),,ruby_6,110000,33,창사마,486,7329,1650,1,GooglePlay,2025-07-27,1074700,116
Order Complete (App),,ruby_4,33000,1,무개념꼬맹이,27,237549,0,1,GooglePlay,2025-08-28,7700,17588
Order Complete (App),,ruby_4,33000,33,창사마,486,85829,9350,1,GooglePlay,2025-07-27,1041700,116
Order Complete (App),,ads_remove,7700,1,모태솔로장동건,68,50650,0,1,GooglePlay,2025-08-28,0,16954
Order Complete (App),,ruby_6,110000,33,창사마,486,3554,0,1,GooglePlay,2025-07-27,931700,116
Order Complete (App),,ruby_2,6600,1,은도끼,41,103845,0,1,GooglePlay,2025-08-28,7700,16373
Order Complete (App),,ads_remove,7700,1,보창,7,17000,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ads_remove,7700,1,SELF,5,13000,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ruby_1,1100,33,헤나,396,35293,440,1,OneStore,2025-07-26,15400,455
Order Complete (App),,ruby_4,33000,35,k루인,353,88793,330,1,GooglePlay,2025-07-24,128700,1327
Order Complete (App),,ads_remove,7700,1,은도끼,4,8000,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ruby_5,55000,37,Raid,925,232153,1100,1,GooglePlay,2025-07-22,5065500,4
Order Complete (App),,ads_remove,7700,1,차오스,20,28825,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ruby_6,110000,37,Raid,925,48603,0,1,GooglePlay,2025-07-22,4955500,4
Order Complete (App),,ads_remove,7700,2,안제리나줄,85,2498,0,1,GooglePlay,2025-08-27,0,9244
Order Complete (App),,ads_remove,7700,2,김한량,114,56445,0,1,GooglePlay,2025-08-27,0,7127
Order Complete (App),,ruby_5,55000,37,나류토,374,61525,770,1,GooglePlay,2025-07-22,194700,843
Order Complete (App),,ruby_3,11000,34,유케이,426,818,0,1,GooglePlay,2025-07-26,110000,294
Order Complete (App),,ads_remove,7700,1,모짜왕자,14,141250,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ads_remove,7700,1,무개념꼬맹이,11,129000,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ads_remove,7700,1,난포기,4,8000,0,1,GooglePlay,2025-07-23,0,99999999
Order Complete (App),,ruby_2,6600,40,막내키키,493,67144,0,1,GooglePlay,2025-07-20,316800,108
Order Complete (App),,ruby_2,6600,40,막내키키,493,26644,440,1,GooglePlay,2025-07-20,310200,108
Order Complete (App),,ruby_3,11000,40,막내키키,493,2644,0,1,GooglePlay,2025-07-20,299200,108
Order Complete (App),,ads_remove,7700,1,돌김,33,5265,0,1,GooglePlay,2025-08-28,0,18916
Order Complete (App),,ruby_6,110000,26,쵸돈단스,552,15249,12210,1,OneStore,2025-08-03,1448700,46
Order Complete (App),,ads_remove,7700,1,주노아빠,18,160010,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ruby_2,6600,42,hsbdj,290,4315,0,1,GooglePlay,2025-07-17,0,2298
Order Complete (App),,ads_remove,7700,1,부드러운맛세,34,84918,0,1,GooglePlay,2025-08-28,0,16783
Order Complete (App),,ruby_4,33000,40,태굥,444,4145,440,1,GooglePlay,2025-07-19,170500,196
Order Complete (App),,ruby_3,11000,41,쟁요,647,378,220,1,GooglePlay,2025-07-19,1202300,22
Order Complete (App),,ads_remove,7700,1,와싸비,11,91500,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ads_remove,7700,1,지우야,9,19770,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ruby_4,33000,1,방구개미,98,4519,0,1,GooglePlay,2025-08-28,18700,7667
