"Event Category","Custom Event Properties","Product ID","Product Price"
"ItemPurchased (App)","{""Time"":""2026-03-15 19:31:17"",""UserUUID"":""da3bee00-204c-11f1-826b-99b9df366d9c"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""츠구밍"",""a_user_stage"":59,""b.diamond"":781840,""b.ruby"":3410,""boxAllCount"":1230,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":62700,""user_rank"":12802}","스테이지 패스__0__550",550
"ItemPurchased (App)","{""Time"":""2026-03-15 19:31:14"",""UserUUID"":""da3bee00-204c-11f1-826b-99b9df366d9c"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""츠구밍"",""a_user_stage"":59,""b.diamond"":740590,""b.ruby"":3960,""boxAllCount"":1230,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":62700,""user_rank"":12802}","레벨 패스__0__550",550
"ItemPurchased (App)","{""Time"":""2026-03-15 19:31:11"",""UserUUID"":""da3bee00-204c-11f1-826b-99b9df366d9c"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""츠구밍"",""a_user_stage"":59,""b.diamond"":725590,""b.ruby"":4510,""boxAllCount"":1230,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":62700,""user_rank"":12802}","사냥 패스__0__550",550
"ItemPurchased (App)","{""Time"":""2026-03-15 19:21:53"",""UserUUID"":""da3bee00-204c-11f1-826b-99b9df366d9c"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""츠구밍"",""a_user_stage"":55,""b.diamond"":662815,""b.ruby"":5060,""boxAllCount"":900,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":62700,""user_rank"":12802}","계정한정__조선소환__0__110",110
"ItemPurchased (App)","{""Time"":""2026-03-15 19:21:50"",""UserUUID"":""da3bee00-204c-11f1-826b-99b9df366d9c"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""츠구밍"",""a_user_stage"":55,""b.diamond"":660815,""b.ruby"":5170,""boxAllCount"":900,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":62700,""user_rank"":12802}","계정한정__고려소환__0__110",110
"ItemPurchased (App)","{""Time"":""2026-03-15 19:21:47"",""UserUUID"":""da3bee00-204c-11f1-826b-99b9df366d9c"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""츠구밍"",""a_user_stage"":55,""b.diamond"":658815,""b.ruby"":5280,""boxAllCount"":900,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":62700,""user_rank"":12802}","계정한정__갑옷소환__1__110",110
"ItemPurchased (App)","{""Time"":""2026-03-15 19:21:44"",""UserUUID"":""da3bee00-204c-11f1-826b-99b9df366d9c"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""츠구밍"",""a_user_stage"":55,""b.diamond"":657815,""b.ruby"":5390,""boxAllCount"":900,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":62700,""user_rank"":12802}","계정한정__무기소환__1__110",110
"ItemPurchased (App)","{""Time"":""2026-03-15 19:02:35"",""UserUUID"":""ba6db0c0-0c94-11f1-8f50-bf80e64eea90"",""a_EventItem"":"""",""a_attendance_count"":26,""a_user_name"":""대야"",""a_user_stage"":1087,""b.diamond"":422373,""b.ruby"":6530,""boxAllCount"":28050,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-18"",""total_payment_amount"":3571700,""user_rank"":460}","(기간한정 일간)연구석__0__110",110
"ItemPurchased (App)","{""Time"":""2026-03-15 18:56:38"",""UserUUID"":""97dd7640-1ddc-11f1-8ddc-8b91ee246d0c"",""a_EventItem"":"""",""a_attendance_count"":4,""a_user_name"":""정성화"",""a_user_stage"":139,""b.diamond"":206446,""b.ruby"":0,""boxAllCount"":1560,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-12"",""total_payment_amount"":24200,""user_rank"":7758}","돌발_던전1__1__990",990
"ItemPurchased (App)","{""Time"":""2026-03-15 18:32:26"",""UserUUID"":""72474400-0cd0-11f1-9221-73d9d2b4086f"",""a_EventItem"":"""",""a_attendance_count"":26,""a_user_name"":""도란도란"",""a_user_stage"":422,""b.diamond"":107713,""b.ruby"":0,""boxAllCount"":6940,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-18"",""total_payment_amount"":168300,""user_rank"":3200}","(기간한정 일간)입장권2__1__550",550
