"Event Category","Custom Event Properties"
"Order Complete (App)","{""Time"":""2026-03-15 18:26:23"",""UserUUID"":""72474400-0cd0-11f1-9221-73d9d2b4086f"",""a_attendance_count"":26,""a_user_name"":""도란도란"",""a_user_stage"":417,""b.diamond"":2991,""b.ruby"":0,""boxAllCount"":6940,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-18"",""total_payment_amount"":161700,""user_rank"":3200}"
"Order Complete (App)","{""Time"":""2026-03-15 18:15:52"",""UserUUID"":""da3bee00-204c-11f1-826b-99b9df366d9c"",""a_attendance_count"":1,""a_user_name"":""츠구밍"",""a_user_stage"":12,""b.diamond"":140000,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":0,""user_rank"":99999999}"
"Order Complete (App)","{""Time"":""2026-03-15 18:14:07"",""UserUUID"":""47596e00-945c-11ef-ac62-17881ea29a04"",""a_attendance_count"":177,""a_user_name"":""캐릭"",""a_user_stage"":906,""b.diamond"":443319,""b.ruby"":2860,""boxAllCount"":25050,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2024-10-27"",""total_payment_amount"":1225400,""user_rank"":177}"
"Order Complete (App)","{""Time"":""2026-03-15 18:13:51"",""UserUUID"":""47596e00-945c-11ef-ac62-17881ea29a04"",""a_attendance_count"":177,""a_user_name"":""캐릭"",""a_user_stage"":906,""b.diamond"":443319,""b.ruby"":1760,""boxAllCount"":25050,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2024-10-27"",""total_payment_amount"":1214400,""user_rank"":177}"
"Order Complete (App)","{""Time"":""2026-03-15 18:13:31"",""UserUUID"":""47596e00-945c-11ef-ac62-17881ea29a04"",""a_attendance_count"":177,""a_user_name"":""캐릭"",""a_user_stage"":906,""b.diamond"":443319,""b.ruby"":660,""boxAllCount"":25050,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2024-10-27"",""total_payment_amount"":1203400,""user_rank"":177}"
"Order Complete (App)","{""Time"":""2026-03-15 17:59:36"",""UserUUID"":""2233bf20-eaa7-11f0-a963-27d225e76a0a"",""a_attendance_count"":69,""a_user_name"":""핸배"",""a_user_stage"":1066,""b.diamond"":11639,""b.ruby"":1100,""boxAllCount"":14820,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-06"",""total_payment_amount"":1895300,""user_rank"":486}"
"Order Complete (App)","{""Time"":""2026-03-15 17:59:00"",""UserUUID"":""cc23a050-fe24-11f0-8cb5-f761ec76d908"",""a_attendance_count"":44,""a_user_name"":""이군7"",""a_user_stage"":509,""b.diamond"":324881,""b.ruby"":0,""boxAllCount"":8910,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-30"",""total_payment_amount"":416900,""user_rank"":2266}"
"Order Complete (App)","{""Time"":""2026-03-15 17:55:03"",""UserUUID"":""17756950-204c-11f1-bd46-2900ca55ec5b"",""a_attendance_count"":1,""a_user_name"":""르으느"",""a_user_stage"":4,""b.diamond"":10000,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":0,""user_rank"":99999999}"
"Order Complete (App)","{""Time"":""2026-03-15 17:05:21"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":261,""b.diamond"":11196,""b.ruby"":330,""boxAllCount"":3540,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":73700,""user_rank"":5307}"
"Order Complete (App)","{""Time"":""2026-03-15 16:03:11"",""UserUUID"":""024a1ec0-203a-11f1-a40d-f130391c83fe"",""a_attendance_count"":1,""a_user_name"":""좋은거주라"",""a_user_stage"":24,""b.diamond"":111550,""b.ruby"":0,""boxAllCount"":300,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":0,""user_rank"":17156}"
