순위,UUID,닉네임,점수,추가 항목
215,a78de950-64bc-11f0-8340-854878e1c5cf,베니어,291,4
215,a2c58ba0-6497-11f0-aedf-55b71a55f5ce,앙뚝,291,4
215,831e9040-63c9-11f0-a9da-8b915b889dd4,민들레옹,291,4
215,4e8d06b0-6192-11f0-9869-c1c5ed7630de,트리니타스,291,4
215,4df64e60-6326-11f0-8900-17942e280829,희동삼,291,4
215,44f4f090-6372-11f0-baf1-611897b49fac,위니랑,291,4
215,33d2ffd0-638d-11f0-8ad1-495afdf38cf0,몽실몽실,291,4
225,f45aa210-647f-11f0-b6a4-e93233942baf,김훅,290,4
225,d8ed47f0-6220-11f0-9813-b7579b20c221,빡뚱,290,4
225,95a9f700-64a9-11f0-a8e1-0128328b4be6,쥐돌이,290,4
225,7cab0f50-630f-11f0-b218-43a24c54b5c1,디비자라,290,4
225,4951c240-64f7-11f0-920f-d9bd8a2a820c,한니야,290,4
225,3d3ec1a0-64d5-11f0-920f-d9bd8a2a820c,깨방,290,4
225,127efc20-643d-11f0-99c8-7b44769d223b,헬랑구,290,4
225,082d4360-64f3-11f0-920f-d9bd8a2a820c,딸봉바라기,290,4
233,ff95a5f0-6464-11f0-b9a2-71a70b35ee88,물긷는아낙네,289,4
233,f9e90d70-62b8-11f0-b038-1df969c0d9a5,건호최고,289,4
233,711f15d0-655a-11f0-9028-6d8f473a814e,네모네모,289,4
233,164a9ea0-6383-11f0-adf7-d1fabe44ecce,Suzzy,289,4
237,f12f56d0-638f-11f0-b91f-cbca55a9af76,한쿡,288,4
237,e88fb1b0-6212-11f0-9ed2-2327c5a1ff14,떼까우,288,4
237,d4f2a0a0-6513-11f0-998d-6361b2224259,하리보소주맛,288,4
237,c968c970-620d-11f0-95d2-33c2bc31b4d0,맹맹,288,4
237,b56ad670-631b-11f0-8d40-dfc9f921e722,탄이,288,4
237,a5768dd0-63c6-11f0-aab1-5f3bbe175c3e,와니초이,288,4
237,983fb180-6242-11f0-9c23-457fcdeb3714,Zaru,288,4
237,8f64a9c0-6275-11f0-b831-2509b113c5f4,13453,288,4
237,869c01e0-6242-11f0-a514-49ea4fb7f89a,도플라밍고,288,4
237,7d9c5b90-646c-11f0-b988-07f0a97cfdc2,김죠,288,4
237,718a59f0-6319-11f0-973d-8fd00d5d3e51,하나공공,288,4
237,6bda4cf0-6408-11f0-a3ab-515b7dbdbb4f,으누,288,4
237,5f434980-6389-11f0-842b-a1e5e2f54197,SSG랜더스,288,4
