0199f930-a9b8-11f0-baeb-dba5e53ace44,7700 ,7700 , - ,
럭키하온,7700 ,7700 , - ,
01fdbee0-67df-11f0-8812-73bb8ef7c9b8,15400 ,15400 , - ,
내안에이무기,15400 ,15400 , - ,
02e2bf80-6812-11f0-9069-eb268d57af69,47300 ,47300 , - ,
타샤,47300 ,47300 , - ,
03131a90-6a10-11f0-9adb-01ec0e539aaf,11000 ,11000 , - ,
짬쥐,11000 ,11000 , - ,
03db9360-646d-11f0-9969-437e63fe5696,66000 ,66000 , - ,
남궁세가,66000 ,66000 , - ,
03e71c20-678e-11f0-8310-8370146853a0,40700 ,40700 , - ,
이즈니,40700 ,40700 , - ,
053c0240-74ca-11f0-8c5d-c3b0256c8508,176000 ,176000 , - ,
낭낭낭,176000 ,176000 , - ,
055e29d0-66e0-11f0-b905-616e286946a4,383900 ,383900 , - ,
fourzero,383900 ,383900 , - ,
05b8cc30-63db-11f0-9b30-bfc50fd617fd,22000 ,22000 , - ,
한국사일타강사,22000 ,22000 , - ,
067338c0-66df-11f0-abbe-1b148ce1c918,1109900 ,1109900 , - ,
나류토,1109900 ,1109900 , - ,
068d1d90-95eb-11f0-acdd-650478bb8a1d,2684000 ,2684000 , - ,
지헌,2684000 ,2684000 , - ,
06f4fba0-645d-11f0-a72c-e970bf999ff4,209000 ,209000 , - ,
JMG,209000 ,209000 , - ,
0b0e3e60-7e7d-11f0-a0b4-a39a44483f18,3186700 ,3186700 , - ,
모래내,3186700 ,3186700 , - ,
0b7b1bb0-6d3f-11f0-9497-07950a6b2df0,800800 ,800800 , - ,
roki,800800 ,800800 , - ,
0c3dfec0-64f5-11f0-846f-13edae8f7606,25300 ,25300 , - ,
꾸꾸83,25300 ,25300 , - ,
0c9e5850-62b2-11f0-b038-1df969c0d9a5,4588100 ,4588100 , - ,
엉망,4588100 ,4588100 , - ,
0c9eddc1-63d4-11f0-b0c8-0be5c747fc57,11000 ,11000 , - ,
내일의포부,11000 ,11000 , - ,
0d41e570-63dd-11f0-b0c8-0be5c747fc57,14300 ,14300 , - ,
이오스,14300 ,14300 , - ,
0d64c1a0-6d9f-11f0-a543-8f438c788f23,82500 ,82500 , - ,
김철호,82500 ,82500 , - ,
0f9049d0-618e-11f0-bd36-5f31c52cdc75,6828800 ,6828800 , - ,
아마테라스,6828800 ,6828800 , - ,
10700620-675a-11f0-abfa-cf2722f87813,1202300 ,1202300 , - ,
초홍볶,1202300 ,1202300 , - ,
10849cb0-6382-11f0-969f-574f3b894b44,40700 ,40700 , - ,
하또짜,40700 ,40700 , - ,
10b5eb60-66ef-11f0-b905-616e286946a4,95700 ,95700 , - ,
이슬공주,95700 ,95700 , - ,
10e7c020-775e-11f0-81f0-bdda0a51b469,114400 ,114400 , - ,
paxxi,114400 ,114400 , - ,
115cf280-6b5d-11f0-837a-5be36112ad0f,7700 ,7700 , - ,
강반석,7700 ,7700 , - ,
11a136f0-6e5c-11f0-a931-a30ac76d0ed7,78100 ,78100 , - ,
떠쥬니,78100 ,78100 , - ,
125afb70-6f98-11f0-8bcf-0fce4df5602b,1149500 ,1149500 , - ,
조메기,1149500 ,1149500 , - ,
129615c0-7745-11f0-9300-b56cf26dc650,40700 ,40700 , - ,
brownie,40700 ,40700 , - ,
13f74790-62b9-11f0-839f-d97137a128f6,160600 ,160600 , - ,
권대훈,160600 ,160600 , - ,
145a7890-6cb1-11f0-8e36-7ff47c038c45,810700 ,810700 , - ,
청무룡,810700 ,810700 , - ,
15a073e0-649f-11f0-829b-d50781ca76af,36300 ,36300 , - ,
돗개,36300 ,36300 , - ,
15f5ff20-62f8-11f0-b4b3-99d44587a070,458700 ,458700 , - ,
맘바,458700 ,458700 , - ,
15f65440-678d-11f0-854a-b963b3c30991,18700 ,18700 , - ,
자냥탄센,18700 ,18700 , - ,
1710dcc0-8aff-11f0-9be3-89fd900261bb,2205500 ,2205500 , - ,
창하,2205500 ,2205500 , - ,
177a8a20-63e6-11f0-849d-3b3a1fc71a59,245300 ,245300 , - ,
김민교,245300 ,245300 , - ,
17b3bca0-6364-11f0-97d7-efff12aed0ab,7700 ,7700 , - ,
방랑자장씨,7700 ,7700 , - ,
17d07e40-6b79-11f0-b12d-131ac73060ee,314600 ,314600 , - ,
톰달,314600 ,314600 , - ,
1866e840-7113-11f0-a2a7-91b28ed640aa,4898300 ,4898300 , - ,
금재곱,4898300 ,4898300 , - ,
18ab42a0-6a20-11f0-9adb-01ec0e539aaf,99000 ,99000 , - ,
례진,99000 ,99000 , - ,
19080300-6f8e-11f0-8bcf-0fce4df5602b,51700 ,51700 , - ,
현무암,51700 ,51700 , - ,
1a32b1a0-6d70-11f0-8ace-c9e44639a5b1,132000 ,132000 , - ,
이만냥,132000 ,132000 , - ,
1b679820-62fc-11f0-aafb-6f8fc69735d7,1406900 ,1406900 , - ,
하모예,1406900 ,1406900 , - ,
1c0c6350-6e23-11f0-bf39-61a625d3dba8,215600 ,215600 , - ,
IPZA,215600 ,215600 , - ,
1c3866c0-6f5f-11f0-ac43-e97313d2b0eb,139700 ,139700 , - ,
자브종늑대,139700 ,139700 , - ,
1c422360-6f62-11f0-ac43-e97313d2b0eb,3197700 ,3197700 , - ,
웅이아부지,3197700 ,3197700 , - ,
1e6fd4d0-80a5-11f0-8c58-55da2247a863,616000 ,616000 , - ,
표장창,616000 ,616000 , - ,
1e893510-66ce-11f0-bec5-bbe08fa86bc3,7700 ,7700 , - ,
안시성I만춘,7700 ,7700 , - ,
1f5d08f0-6c36-11f0-9d81-e7c0c7be48b2,323400 ,323400 , - ,
양승구,323400 ,323400 , - ,
207afce0-70e8-11f0-8064-99fde900ee59,7700 ,7700 , - ,
고래오,7700 ,7700 , - ,
2147a220-63f7-11f0-9f61-e14d99ccbb10,0 ,0 , - ,
달빛나린아이,0 ,0 , - ,
235d0da0-6b97-11f0-b12d-131ac73060ee,40700 ,40700 , - ,
실땅님,40700 ,40700 , - ,
23702110-6db3-11f0-bca4-23c72ea5e3de,14300 ,14300 , - ,
종생,14300 ,14300 , - ,
23ac2230-6b4e-11f0-97d6-9d9ba89f59bd,7700 ,7700 , - ,
장가계,7700 ,7700 , - ,
2547d1c0-6e78-11f0-88c8-49c308cd556e,432300 ,432300 , - ,
도라에몽표류기,432300 ,432300 , - ,
254b6ed0-6a94-11f0-a3f5-b7808f7fb4b1,29700 ,29700 , - ,
측반,29700 ,29700 , - ,
26b131f0-6e19-11f0-81df-cbcc25545732,47300 ,47300 , - ,
폭력왕,47300 ,47300 , - ,
26f40d90-6d38-11f0-b976-671badd129d8,14300 ,14300 , - ,
구데기,14300 ,14300 , - ,
27c1bed0-8326-11f0-bee3-69d36a7f9278,2405700 ,2405700 , - ,
푸우웅,2405700 ,2405700 , - ,
280e8050-677c-11f0-bcc9-bd1830454154,25300 ,25300 , - ,
김뿡,25300 ,25300 , - ,
2b442c30-68b6-11f0-b6e5-1f4abc2a195f,799700 ,799700 , - ,
갓세종,799700 ,799700 , - ,
2b658230-6358-11f0-9eba-319c3c5b72eb,94600 ,94600 , - ,
기풍한1,94600 ,94600 , - ,
2c5c1dc0-6fba-11f0-ab31-25a3b6e37799,7700 ,7700 , - ,
티몬짱,7700 ,7700 , - ,
2c5cb5b0-6514-11f0-8799-a56030339d38,992200 ,992200 , - ,
GC,992200 ,992200 , - ,
2cbcb5f0-71cb-11f0-820c-4f393071ce5a,518100 ,518100 , - ,
백초거,518100 ,518100 , - ,
2cfa66a0-6985-11f0-86e2-d3a55f318685,77000 ,77000 , - ,
Tien,77000 ,77000 , - ,
2d2eaf80-6734-11f0-a25c-47a5a693b30a,1183600 ,1183600 , - ,
꽃설,1183600 ,1183600 , - ,
2fb3d4f0-626c-11f0-9eb5-cf396344702c,379500 ,379500 , - ,
찐아,379500 ,379500 , - ,
30918dc0-64bc-11f0-bac8-c1efd8a8ec20,22000 ,22000 , - ,
카넬리안,22000 ,22000 , - ,
312b5d50-73d1-11f0-b431-a74b7b9c19a0,7700 ,7700 , - ,
cherius,7700 ,7700 , - ,
3130f410-6f1a-11f0-926b-bd6819081865,1086800 ,1086800 , - ,
영쟈굳,1086800 ,1086800 , - ,
32531a60-71e2-11f0-a1e3-33e6e3a1e0e9,51700 ,51700 , - ,
흰구름,51700 ,51700 , - ,
325d12a0-67b4-11f0-a86b-6be161d85452,7700 ,7700 , - ,
qpalzm,7700 ,7700 , - ,
32af3fb0-6653-11f0-96fa-990fd0c2f326,3798300 ,3798300 , - ,
Jemin,3798300 ,3798300 , - ,
33291010-7a8a-11f0-a36f-a7cbd2baf6a3,363000 ,363000 , - ,
인간홍삼,363000 ,363000 , - ,
33b6bee0-797e-11f0-b26c-f748a48980eb,3456200 ,3456200 , - ,
먼지아빠,3456200 ,3456200 , - ,
35944f70-7834-11f0-b9a9-97fbbef830f1,567600 ,567600 , - ,
유체리,567600 ,567600 , - ,
36cda840-64f8-11f0-920f-d9bd8a2a820c,299200 ,299200 , - ,
의천대협,299200 ,299200 , - ,
36db7b50-6d45-11f0-a5ac-25cfed422797,4353800 ,4353800 , - ,
코리아se스머신,4353800 ,4353800 , - ,
37fb0cb0-622f-11f0-bc70-397db01e6720,7700 ,7700 , - ,
또봇엑스,7700 ,7700 , - ,
38c7bd50-6897-11f0-93e8-85a9cfc62190,8800 ,8800 , - ,
보라돌,8800 ,8800 , - ,
390795f0-6438-11f0-93a4-af3680a69719,7700 ,7700 , - ,
옐로우콘,7700 ,7700 , - ,
399b1780-6f69-11f0-846f-17143172b206,139700 ,139700 , - ,
짖리,139700 ,139700 , - ,
3b805770-6322-11f0-a9dd-09ac9a880f48,7700 ,7700 , - ,
라크,7700 ,7700 , - ,
3c8b4650-62f7-11f0-a53e-f720860fcc8a,11000 ,11000 , - ,
Atom,11000 ,11000 , - ,
3d2884a0-62df-11f0-8f11-77dd1d282e8c,743600 ,743600 , - ,
난중일기,743600 ,743600 , - ,
3f4a9ee0-636f-11f0-97d7-efff12aed0ab,27500 ,27500 , - ,
김인서,27500 ,27500 , - ,
3f7a7390-6603-11f0-9582-8f4f9f5b46ce,2523400 ,2523400 , - ,
럭키스트라이크,2523400 ,2523400 , - ,
3feb9230-68f3-11f0-b6e5-1f4abc2a195f,691900 ,691900 , - ,
rubidu,691900 ,691900 , - ,
404036d0-67bf-11f0-95fe-5b05e0783f63,7700 ,7700 , - ,
바르다지,7700 ,7700 , - ,
412af170-6fc1-11f0-9919-e94a263a5db1,44000 ,44000 , - ,
오아니,44000 ,44000 , - ,
418d3be0-6851-11f0-9a92-175f0d2b5caf,51700 ,51700 , - ,
백기사님,51700 ,51700 , - ,
41a2e930-6550-11f0-aed2-e9684f688284,737000 ,737000 , - ,
캐누,737000 ,737000 , - ,
423850d0-70d4-11f0-8f33-01703284fd43,280500 ,280500 , - ,
리세3,280500 ,280500 , - ,
42ec4190-6d31-11f0-b976-671badd129d8,614900 ,614900 , - ,
써티프로,614900 ,614900 , - ,
44f437c0-6437-11f0-8bb1-eb965705e646,40700 ,40700 , - ,
김투명,40700 ,40700 , - ,
45daa740-6e97-11f0-9a77-0509129a3f56,33000 ,33000 , - ,
아스본,33000 ,33000 , - ,
4799cb00-63e4-11f0-8ce7-05e1fc9cefd2,40700 ,40700 , - ,
타이거즈,40700 ,40700 , - ,
48f63e40-6d1a-11f0-b976-671badd129d8,568700 ,568700 , - ,
심상,568700 ,568700 , - ,
490e2be1-637e-11f0-b6f5-df7d29cfa051,865700 ,865700 , - ,
로봇,865700 ,865700 , - ,
49499450-68ba-11f0-bd47-cf3af6acce80,392700 ,392700 , - ,
기모찌맨,392700 ,392700 , - ,
4a18f070-7048-11f0-9100-890f54ac73b3,47300 ,47300 , - ,
짝눈원숭이,47300 ,47300 , - ,
4b4f7eb0-6552-11f0-a8f6-b9ccbcdd6c19,162800 ,162800 , - ,
느엥,162800 ,162800 , - ,
4c16d790-63f8-11f0-b314-3925c9c0ffa7,14300 ,14300 , - ,
도휼,14300 ,14300 , - ,
4c2fb520-693a-11f0-9f89-dbb641051642,18700 ,18700 , - ,
서백,18700 ,18700 , - ,
4c7f7520-638f-11f0-9730-63c2972c2599,7700 ,7700 , - ,
로빈홋,7700 ,7700 , - ,
4d3aa9d0-6637-11f0-b390-df77dfcfb7b2,75900 ,75900 , - ,
뿌돔,75900 ,75900 , - ,
4e144c50-6397-11f0-a4da-3d0ef443f21c,4307600 ,4307600 , - ,
JJJ0738,4307600 ,4307600 , - ,
4e8d06b0-6192-11f0-9869-c1c5ed7630de,28600 ,28600 , - ,
트리니타스,28600 ,28600 , - ,
4ee1f181-6745-11f0-b6f9-9341b272f2ff,7700 ,7700 , - ,
백이련,7700 ,7700 , - ,
510f50f0-6615-11f0-b9c4-fd8fa20ffc1f,168300 ,168300 , - ,
성도,168300 ,168300 , - ,
528fc7d0-6e57-11f0-85e6-cfac77f34799,7700 ,7700 , - ,
라면먹자,7700 ,7700 , - ,
